City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
120,Bandarbeyla,SO,78.57,scattered clouds,9.4942,50.8122,JABIR HOTEL
122,Guerrero Negro,MX,68.65,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
123,Yeppoon,AU,67.78,clear sky,-23.1333,150.7333,Villa Mar Colina
124,Dzerzhinsk,RU,66.02,clear sky,56.2389,43.4631,Hotel Druzhba
125,The Pas,CA,66.22,clear sky,53.8251,-101.2541,Wescana Inn
127,Yatou,CN,76.62,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
128,Aklavik,CA,87.15,clear sky,68.2191,-135.0107,Aklavik Inn
130,Bengkulu,ID,82.09,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,Bubaque,GW,80.49,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
133,Clinton,US,73.22,overcast clouds,42.587,-82.9199,River's Edge
134,Solnechnyy,RU,88.86,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
137,Dongying,CN,85.17,clear sky,37.4564,118.4856,Wanda Realm
138,Ponta Do Sol,PT,69.01,clear sky,32.6667,-17.1,Hotel do Campo
140,Akhtubinsk,RU,66.13,clear sky,48.2795,46.1722,Vzlet
141,San Quintin,MX,67.96,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
142,Pineto,IT,76.08,broken clouds,42.6097,14.066,Residence Holiday Rendez-Vous
143,Chumikan,RU,70.3,scattered clouds,54.7183,135.315,Fortuna
145,Moussoro,TD,83.84,clear sky,13.6408,16.4901,Hôtel Salama
146,Bairiki,KI,87.8,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
147,Arraial Do Cabo,BR,70.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
149,Mawlaik,MM,85.78,clear sky,23.6333,94.4167,AKZ Guest House
150,Tuktoyaktuk,CA,69.8,few clouds,69.4541,-133.0374,End of The Road Ltd.
152,Emilio Carranza,MX,79.79,scattered clouds,19.9711,-96.6114,Hotel Carranza Inn
153,Mana,GF,77.41,overcast clouds,5.6592,-53.7767,LE SAMANA
154,Juneau,US,68.85,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
156,Melilla,ES,73.78,broken clouds,35.2937,-2.9383,Hotel Anfora
157,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
159,Thompson,CA,69.96,overcast clouds,55.7435,-97.8558,Burntwood Hotel
163,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
164,Bundaberg,AU,69.22,clear sky,-24.85,152.35,Takalvan Motel
165,Edgewater,US,80.1,clear sky,28.9889,-80.9023,Islander Beach Resort
167,Kijang,KR,85.73,overcast clouds,35.2442,129.2139,Samyang Beach Villa
168,Dong Xoai,VN,81.46,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
170,Rocky Mount,US,82.11,light rain,35.9382,-77.7905,Days Inn & Suites by Wyndham Rocky Mount Golden East
