City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Suluq,LY,31.6682,20.2521,77.59,74,0,7.83,clear sky
192,Faanui,PF,-16.4833,-151.75,79.07,65,10,8.25,clear sky
193,Mathbaria,BD,22.2876,89.9593,82.62,83,98,6.62,overcast clouds
194,Lisa,RO,43.8,25.1333,66.31,77,75,6.22,broken clouds
195,Luderitz,NA,-26.6481,15.1594,54.64,61,0,8.95,clear sky
196,Huron,US,41.1501,-82.5499,71.04,90,25,7.63,scattered clouds
197,Saint-Philippe,RE,-21.3585,55.7679,66.22,73,68,10.65,broken clouds
198,Mayo,US,38.8876,-76.5119,80.55,88,100,6.91,light rain
199,Yanam,IN,16.7333,82.2167,80.53,84,100,6.76,overcast clouds
200,Kathu,TH,7.9178,98.3332,84.02,99,78,8.25,broken clouds
201,Cidreira,BR,-30.1811,-50.2056,64.02,88,100,3.65,overcast clouds
202,Longyearbyen,SJ,78.2186,15.6401,40.84,60,0,18.41,clear sky
203,Shimoda,JP,34.6667,138.95,83.1,84,100,6.96,overcast clouds
204,Olinda,BR,-8.0089,-34.8553,75.94,85,9,12.55,clear sky
205,Termiz,UZ,37.2242,67.2783,73.49,28,0,9.22,clear sky
206,Alyangula,AU,-13.8483,136.4192,73.92,57,28,12.84,scattered clouds
207,Ponta Delgada,PT,37.7333,-25.6667,68.5,72,66,7.2,broken clouds
208,Sao Filipe,CV,14.8961,-24.4956,75.04,85,91,8.3,overcast clouds
209,Coyotepec,MX,19.775,-99.2072,65.32,62,100,8.84,overcast clouds
210,San Vicente,AR,-26.6167,-54.1333,63.64,62,100,6.71,overcast clouds
211,Dargaville,NZ,-35.9333,173.8833,58.6,95,100,11.9,light rain
212,Kapit,MY,2.0167,112.9333,87.3,60,33,2.08,scattered clouds
213,Itarema,BR,-2.9248,-39.9167,77.94,80,33,13.13,scattered clouds
214,Lompoc,US,34.6391,-120.4579,74.01,75,0,13.0,clear sky
215,Ribeira Grande,PT,38.5167,-28.7,66.18,81,100,14.79,overcast clouds
216,Kamenka,RU,51.3223,42.7678,58.87,68,3,6.06,clear sky
217,Pangnirtung,CA,66.1451,-65.7125,44.47,79,94,3.0,overcast clouds
218,Tuatapere,NZ,-46.1333,167.6833,46.99,69,100,5.26,overcast clouds
219,Pisco,PE,-13.7,-76.2167,60.03,83,7,2.82,clear sky
220,Labuhan,ID,-6.8844,112.2051,80.1,76,66,8.28,broken clouds
221,Guanajuato,MX,21.0186,-101.2591,65.19,58,3,20.15,clear sky
